Customer [customerId=101, customerName=Ramesh, phoneNumber=8888]
Customer [customerId=102, customerName=Ramesh, phoneNumber=7888]
Customer [customerId=103, customerName=Ramesh, phoneNumber=6888]
Customer [customerId=104, customerName=Ramesh, phoneNumber=5888]
Customer [customerId=105, customerName=Ramesh, phoneNumber=4888]
Customer [customerId=101, customerName=Ramesh, phoneNumber=8888]
Customer [customerId=102, customerName=Ramesh, phoneNumber=7888]
Customer [customerId=103, customerName=Ramesh, phoneNumber=6888]
Customer [customerId=104, customerName=Ramesh, phoneNumber=5888]
Customer [customerId=105, customerName=Ramesh, phoneNumber=4888]
Customer [customerId=101, customerName=Ramesh, phoneNumber=8888]
Customer [customerId=102, customerName=Ramesh, phoneNumber=7888]
Customer [customerId=103, customerName=Ramesh, phoneNumber=6888]
Customer [customerId=104, customerName=Ramesh, phoneNumber=5888]
Customer [customerId=105, customerName=Ramesh, phoneNumber=4888]
